rank,title,score,link
1,Shingeki_no_Kyojin,8.54,https://myanimelist.net/anime/16498/Shingeki_no_Kyojin
2,Death_Note,8.62,https://myanimelist.net/anime/1535/Death_Note
3,Fullmetal_Alchemist__Brotherhood,9.09,https://myanimelist.net/anime/5114/Fullmetal_Alchemist__Brotherhood
4,One_Punch_Man,8.50,https://myanimelist.net/anime/30276/One_Punch_Man
5,Sword_Art_Online,7.20,https://myanimelist.net/anime/11757/Sword_Art_Online
6,Boku_no_Hero_Academia,7.88,https://myanimelist.net/anime/31964/Boku_no_Hero_Academia
7,Kimetsu_no_Yaiba,8.49,https://myanimelist.net/anime/38000/Kimetsu_no_Yaiba
8,Naruto,7.99,https://myanimelist.net/anime/20/Naruto
9,Tokyo_Ghoul,7.79,https://myanimelist.net/anime/22319/Tokyo_Ghoul
10,Hunter_x_Hunter_2011,9.04,https://myanimelist.net/anime/11061/Hunter_x_Hunter_2011
11,Kimi_no_Na_wa,8.84,https://myanimelist.net/anime/32281/Kimi_no_Na_wa
12,Shingeki_no_Kyojin_Season_2,8.51,https://myanimelist.net/anime/25777/Shingeki_no_Kyojin_Season_2
13,Steins_Gate,9.07,https://myanimelist.net/anime/9253/Steins_Gate
14,Boku_no_Hero_Academia_2nd_Season,8.10,https://myanimelist.net/anime/33486/Boku_no_Hero_Academia_2nd_Season
15,Naruto__Shippuuden,8.26,https://myanimelist.net/anime/1735/Naruto__Shippuuden
16,Jujutsu_Kaisen,8.62,https://myanimelist.net/anime/40748/Jujutsu_Kaisen
17,No_Game_No_Life,8.07,https://myanimelist.net/anime/19815/No_Game_No_Life
18,Shingeki_no_Kyojin_Season_3,8.62,https://myanimelist.net/anime/35760/Shingeki_no_Kyojin_Season_3
19,One_Piece,8.71,https://myanimelist.net/anime/21/One_Piece
20,Koe_no_Katachi,8.93,https://myanimelist.net/anime/28851/Koe_no_Katachi
21,Code_Geass__Hangyaku_no_Lelouch,8.70,https://myanimelist.net/anime/1575/Code_Geass__Hangyaku_no_Lelouch
22,Shingeki_no_Kyojin_Season_3_Part_2,9.05,https://myanimelist.net/anime/38524/Shingeki_no_Kyojin_Season_3_Part_2
23,Toradora,8.07,https://myanimelist.net/anime/4224/Toradora
24,Shigatsu_wa_Kimi_no_Uso,8.65,https://myanimelist.net/anime/23273/Shigatsu_wa_Kimi_no_Uso
25,Re_Zero_kara_Hajimeru_Isekai_Seikatsu,8.23,https://myanimelist.net/anime/31240/Re_Zero_kara_Hajimeru_Isekai_Seikatsu
26,Boku_no_Hero_Academia_3rd_Season,8.02,https://myanimelist.net/anime/36456/Boku_no_Hero_Academia_3rd_Season
27,Noragami,7.95,https://myanimelist.net/anime/20507/Noragami
28,Boku_dake_ga_Inai_Machi,8.30,https://myanimelist.net/anime/31043/Boku_dake_ga_Inai_Machi
29,Akame_ga_Kill,7.47,https://myanimelist.net/anime/22199/Akame_ga_Kill
30,Angel_Beats,8.06,https://myanimelist.net/anime/6547/Angel_Beats
31,Nanatsu_no_Taizai,7.65,https://myanimelist.net/anime/23755/Nanatsu_no_Taizai
32,Mob_Psycho_100,8.49,https://myanimelist.net/anime/32182/Mob_Psycho_100
33,Mirai_Nikki_TV,7.41,https://myanimelist.net/anime/10620/Mirai_Nikki_TV
34,Ansatsu_Kyoushitsu,8.08,https://myanimelist.net/anime/24833/Ansatsu_Kyoushitsu
35,Sword_Art_Online_II,6.71,https://myanimelist.net/anime/21881/Sword_Art_Online_II
36,Shingeki_no_Kyojin__The_Final_Season,8.79,https://myanimelist.net/anime/40028/Shingeki_no_Kyojin__The_Final_Season
37,Haikyuu,8.44,https://myanimelist.net/anime/20583/Haikyuu
38,Yakusoku_no_Neverland,8.50,https://myanimelist.net/anime/37779/Yakusoku_no_Neverland
39,Bleach,7.93,https://myanimelist.net/anime/269/Bleach
40,Kono_Subarashii_Sekai_ni_Shukufuku_wo,8.11,https://myanimelist.net/anime/30831/Kono_Subarashii_Sekai_ni_Shukufuku_wo
41,Ao_no_Exorcist,7.49,https://myanimelist.net/anime/9919/Ao_no_Exorcist
42,Kiseijuu__Sei_no_Kakuritsu,8.33,https://myanimelist.net/anime/22535/Kiseijuu__Sei_no_Kakuritsu
43,Cowboy_Bebop,8.75,https://myanimelist.net/anime/1/Cowboy_Bebop
44,Sen_to_Chihiro_no_Kamikakushi,8.77,https://myanimelist.net/anime/199/Sen_to_Chihiro_no_Kamikakushi
45,Shinseiki_Evangelion,8.35,https://myanimelist.net/anime/30/Shinseiki_Evangelion
46,Code_Geass__Hangyaku_no_Lelouch_R2,8.91,https://myanimelist.net/anime/2904/Code_Geass__Hangyaku_no_Lelouch_R2
47,Tokyo_Ghoul_√A,7.02,https://myanimelist.net/anime/27899/Tokyo_Ghoul_√A
48,Death_Parade,8.15,https://myanimelist.net/anime/28223/Death_Parade
49,Violet_Evergarden,8.67,https://myanimelist.net/anime/33352/Violet_Evergarden
50,Fairy_Tail,7.57,https://myanimelist.net/anime/6702/Fairy_Tail
